x,y,z,content_id,well_id,_x,_y,_z
5626205.0,2315700.0,-450.0,5,1014р_1,5,5,5
5626205.0,2315700.0,-450.0,4,1014р_1,5,5,5
5626205.0,2315700.0,-455.0,4,1014р_1,5,5,5
5626205.0,2315700.0,-460.0,4,1014р_1,5,5,5
5626205.0,2315700.0,-465.0,4,1014р_1,5,5,5
5626205.0,2315700.0,-470.0,4,1014р_1,5,5,5
5626205.0,2315700.0,-470.0,8,1014р_1,5,5,5
5626205.0,2315700.0,-475.0,8,1014р_1,5,5,5
5626205.0,2315700.0,-480.0,8,1014р_1,5,5,5
5626205.0,2315700.0,-480.0,4,1014р_1,5,5,5
5626205.0,2315700.0,-485.0,4,1014р_1,5,5,5
5626205.0,2315700.0,-490.0,4,1014р_1,5,5,5
5626205.0,2315700.0,-490.0,5,1014р_1,5,5,5
5626205.0,2315700.0,-495.0,5,1014р_1,5,5,5
5626205.0,2315700.0,-495.0,4,1014р_1,5,5,5
5626205.0,2315700.0,-495.0,7,1014р_1,5,5,5
5626205.0,2315700.0,-500.0,7,1014р_1,5,5,5
5626205.0,2315700.0,-500.0,6,1014р_1,5,5,5
5626205.0,2315700.0,-505.0,6,1014р_1,5,5,5
5626155.0,2315930.0,-415.0,3,1015р_1,5,5,5
5626155.0,2315930.0,-420.0,3,1015р_1,5,5,5
5626155.0,2315930.0,-425.0,3,1015р_1,5,5,5
5626155.0,2315930.0,-430.0,3,1015р_1,5,5,5
5626155.0,2315930.0,-435.0,3,1015р_1,5,5,5
5626155.0,2315930.0,-435.0,6,1015р_1,5,5,5
5626155.0,2315930.0,-440.0,6,1015р_1,5,5,5
5626155.0,2315930.0,-445.0,6,1015р_3,5,5,5
5626155.0,2315930.0,-450.0,6,1015р_3,5,5,5
5626155.0,2315930.0,-450.0,4,1015р_3,5,5,5
5626155.0,2315930.0,-455.0,4,1015р_3,5,5,5
5626155.0,2315930.0,-460.0,4,1015р_3,5,5,5
5626155.0,2315930.0,-465.0,4,1015р_3,5,5,5
5626155.0,2315930.0,-470.0,4,1015р_3,5,5,5
5626155.0,2315930.0,-475.0,4,1015р_3,5,5,5
5626155.0,2315930.0,-480.0,4,1015р_3,5,5,5
5626155.0,2315930.0,-480.0,2,1015р_3,5,5,5
5626155.0,2315930.0,-485.0,2,1015р_3,5,5,5
5626155.0,2315930.0,-490.0,2,1015р_3,5,5,5
5626155.0,2315930.0,-495.0,2,1015р_3,5,5,5
5626155.0,2315930.0,-495.0,6,1015р_3,5,5,5
5626155.0,2315930.0,-415.0,4,1016р_1,5,5,5
5626155.0,2315930.0,-420.0,4,1016р_1,5,5,5
5626155.0,2315930.0,-425.0,4,1016р_1,5,5,5
5626155.0,2315930.0,-430.0,4,1016р_1,5,5,5
5626155.0,2315930.0,-435.0,4,1016р_1,5,5,5
5626155.0,2315930.0,-445.0,4,1016р_3,5,5,5
5626155.0,2315930.0,-445.0,2,1016р_3,5,5,5
5626155.0,2315930.0,-450.0,2,1016р_3,5,5,5
5626155.0,2315930.0,-470.0,2,1016р_3,5,5,5
5626155.0,2315930.0,-470.0,5,1016р_3,5,5,5
5626155.0,2315930.0,-475.0,5,1016р_3,5,5,5
5626155.0,2315930.0,-475.0,6,1016р_3,5,5,5
5626155.0,2315925.0,-415.0,4,1017р_1,5,5,5
5626155.0,2315925.0,-420.0,4,1017р_1,5,5,5
5626155.0,2315925.0,-425.0,4,1017р_1,5,5,5
5626155.0,2315925.0,-430.0,4,1017р_1,5,5,5
5626155.0,2315925.0,-435.0,4,1017р_1,5,5,5
5626155.0,2315925.0,-440.0,4,1017р_1,5,5,5
5626155.0,2315925.0,-440.0,5,1017р_1,5,5,5
5626155.0,2315925.0,-440.0,6,1017р_1,5,5,5
5626155.0,2315925.0,-445.0,6,1017р_1,5,5,5
5626155.0,2315925.0,-450.0,6,1017р_3,5,5,5
5626155.0,2315925.0,-455.0,6,1017р_3,5,5,5
5626155.0,2315925.0,-455.0,5,1017р_3,5,5,5
5626155.0,2315925.0,-455.0,4,1017р_3,5,5,5
5626155.0,2315925.0,-460.0,4,1017р_3,5,5,5
5626155.0,2315925.0,-465.0,4,1017р_3,5,5,5
5626155.0,2315925.0,-470.0,4,1017р_3,5,5,5
5626155.0,2315925.0,-475.0,4,1017р_3,5,5,5
5626155.0,2315925.0,-475.0,2,1017р_3,5,5,5
5626155.0,2315925.0,-480.0,2,1017р_3,5,5,5
5626155.0,2315925.0,-480.0,6,1017р_3,5,5,5
5626200.0,2315700.0,-415.0,2,1018р_1,5,5,5
5626200.0,2315700.0,-420.0,2,1018р_1,5,5,5
5626200.0,2315700.0,-425.0,2,1018р_1,5,5,5
5626200.0,2315700.0,-430.0,2,1018р_1,5,5,5
5626200.0,2315700.0,-430.0,7,1018р_1,5,5,5
5626200.0,2315700.0,-435.0,7,1018р_1,5,5,5
5626200.0,2315700.0,-440.0,7,1018р_3,5,5,5
5626200.0,2315700.0,-440.0,2,1018р_3,5,5,5
5626200.0,2315700.0,-445.0,2,1018р_3,5,5,5
