x,y,z,content_id,_x,_y,_z,x_n,y_n,z_n
5626100.0,2316010.0,-445.0,4,5,5,5,160.0,452.0,109.0
5626100.0,2316010.0,-450.0,8,5,5,5,160.0,452.0,108.0
5626100.0,2316010.0,-450.0,4,5,5,5,160.0,452.0,108.0
5626100.0,2316010.0,-455.0,4,5,5,5,160.0,452.0,107.0
5626100.0,2316010.0,-460.0,4,5,5,5,160.0,452.0,106.0
5626100.0,2316010.0,-465.0,4,5,5,5,160.0,452.0,105.0
5626100.0,2316010.0,-465.0,1,5,5,5,160.0,452.0,105.0
5626100.0,2316010.0,-470.0,1,5,5,5,160.0,452.0,104.0
5626100.0,2316010.0,-470.0,4,5,5,5,160.0,452.0,104.0
5626100.0,2316010.0,-470.0,8,5,5,5,160.0,452.0,104.0
5626100.0,2316010.0,-475.0,8,5,5,5,160.0,452.0,103.0
5626100.0,2316010.0,-480.0,8,5,5,5,160.0,452.0,102.0
5626100.0,2316010.0,-480.0,2,5,5,5,160.0,452.0,102.0
5626100.0,2316010.0,-485.0,2,5,5,5,160.0,452.0,101.0
5626100.0,2316010.0,-490.0,2,5,5,5,160.0,452.0,100.0
5626225.0,2315655.0,-415.0,2,5,5,5,185.0,381.0,115.0
5626225.0,2315655.0,-420.0,2,5,5,5,185.0,381.0,114.0
5626225.0,2315655.0,-425.0,2,5,5,5,185.0,381.0,113.0
5626225.0,2315655.0,-430.0,2,5,5,5,185.0,381.0,112.0
5626225.0,2315655.0,-435.0,2,5,5,5,185.0,381.0,111.0
5626225.0,2315655.0,-440.0,2,5,5,5,185.0,381.0,110.0
5626225.0,2315655.0,-445.0,2,5,5,5,185.0,381.0,109.0
